name,aliases,category,subcategory,edible_pct,energy_kcal,protein_g,fat_g,carb_g,potassium_mg,phosphorus_mg,sodium_mg,calcium_mg,unit_name,unit_grams,unit_desc,note
小麦,,小麦,,100.0,338.0,11.9,1.3,75.2,289.0,325.0,0.0,34.0,100g,100,每100克可食部,
五谷香,,小麦,,100.0,378.0,9.9,2.6,78.9,7.0,13.0,0.0,2.0,100g,100,每100克可食部,
小麦粉（代表值）,,小麦,,100.0,359.0,12.4,1.7,74.1,185.0,136.0,0.0,28.0,100g,100,每100克可食部,
小麦粉（富强粉，特一粉）,,小麦,,100.0,351.0,10.3,1.1,75.2,128.0,114.0,0.0,27.0,100g,100,每100克可食部,
小麦粉（特二粉）,,小麦,,100.0,352.0,10.4,1.1,75.9,124.0,120.0,0.0,30.0,100g,100,每100克可食部,
小麦胚粉,,小麦,,100.0,403.0,36.4,10.1,44.5,1523.0,1168.0,0.0,85.0,100g,100,每100克可食部,
麸皮,,小麦,,100.0,282.0,15.8,4.0,61.4,862.0,682.0,0.0,206.0,100g,100,每100克可食部,
小麦粉（标准粉）,,小麦,,100.0,362.0,15.7,2.5,70.9,190.0,167.0,0.0,31.0,100g,100,每100克可食部,
小麦粉（富强粉、特一粉）,,小麦,,100.0,362.0,12.3,1.5,74.9,128.0,114.0,0.0,27.0,100g,100,每100克可食部,
小麦粉（特制）,,小麦,,100.0,366.0,13.3,2.2,73.5,356.0,167.0,0.0,23.0,100g,100,每100克可食部,
挂面（代表值）,,小麦,,100.0,353.0,11.4,0.9,75.1,129.0,134.0,0.0,20.0,100g,100,每100克可食部,
挂面（标准粉）,,小麦,,100.0,348.0,10.1,0.7,76.0,157.0,153.0,0.0,14.0,100g,100,每100克可食部,
挂面（精制龙须面）,,小麦,,100.0,348.0,11.2,0.5,74.7,109.0,137.0,0.0,26.0,100g,100,每100克可食部,
面条（生，代表值）,,小麦,,100.0,301.0,8.9,0.6,65.6,123.0,139.0,0.0,12.0,碗,100,1碗熟面条约100g,
面条（标准粉，切面）,,小麦,,100.0,283.0,8.5,1.6,59.5,161.0,142.0,0.0,13.0,碗,100,1碗熟面条约100g,
